ENSG00000130749_ZC3H4_1,1,1,0,1,0
ENSG00000130749_ZC3H4_2,1,0,0,1,1
ENSG00000130749_ZC3H4_3,3,0,1,2,5
ENSG00000130749_ZC3H4_4,1,0,0,1,1
ENSG00000130749_ZC3H4_5,0,0,0,0,0
ENSG00000130749_ZC3H4_6,2,0,0,0,0
ENSG00000130749_ZC3H4_7,3,1,1,1,2
ENSG00000130749_ZC3H4_8,1,2,3,2,4
ENSG00000130749_ZC3H4_9,3,2,1,0,7
ENSG00000130749_ZC3H4_10,5,1,1,3,5
ENSG00000130749_ZC3H4_11,7,0,2,2,12
ENSG00000130749_ZC3H4_12,9,0,3,1,8
ENSG00000130749_ZC3H4_13,7,0,1,0,6
ENSG00000130749_ZC3H4_14,6,0,0,0,8
ENSG00000130749_ZC3H4_15,9,0,1,1,8
ENSG00000130749_ZC3H4_16,8,0,3,2,6
ENSG00000130749_ZC3H4_17,6,1,4,0,3
ENSG00000130749_ZC3H4_18,4,1,1,0,3
ENSG00000130749_ZC3H4_19,2,2,0,0,2
ENSG00000130749_ZC3H4_20,10,2,1,0,11
ENSG00000130749_ZC3H4_21,13,2,0,0,9
ENSG00000130749_ZC3H4_22,10,3,2,0,8
ENSG00000130749_ZC3H4_23,15,5,2,0,9
ENSG00000130749_ZC3H4_24,20,5,5,2,6
ENSG00000130749_ZC3H4_25,21,4,1,1,11
ENSG00000130749_ZC3H4_26,17,6,3,0,7
ENSG00000130749_ZC3H4_27,19,3,3,0,2
ENSG00000130749_ZC3H4_28,20,5,1,0,4
ENSG00000130749_ZC3H4_29,19,9,2,0,5
ENSG00000130749_ZC3H4_30,20,15,2,0,4
ENSG00000130749_ZC3H4_31,27,15,3,1,10
ENSG00000130749_ZC3H4_32,28,11,1,2,4
ENSG00000130749_ZC3H4_33,22,11,1,1,6
ENSG00000130749_ZC3H4_34,23,18,2,2,7
ENSG00000130749_ZC3H4_35,21,18,4,0,4
ENSG00000130749_ZC3H4_36,26,10,5,1,6
ENSG00000130749_ZC3H4_37,14,8,2,2,11
ENSG00000130749_ZC3H4_38,21,8,3,1,9
ENSG00000130749_ZC3H4_39,15,9,2,0,2
ENSG00000130749_ZC3H4_40,20,16,0,3,5
ENSG00000130749_ZC3H4_41,10,15,0,3,8
ENSG00000130749_ZC3H4_42,19,19,2,1,6
ENSG00000130749_ZC3H4_43,16,17,2,1,3
ENSG00000130749_ZC3H4_44,17,13,2,0,3
ENSG00000130749_ZC3H4_45,19,13,1,1,13
ENSG00000130749_ZC3H4_46,19,17,3,4,8
ENSG00000130749_ZC3H4_47,13,21,2,0,2
ENSG00000130749_ZC3H4_48,15,14,2,0,6
ENSG00000130749_ZC3H4_49,22,10,3,0,6
ENSG00000130749_ZC3H4_50,13,5,2,1,2
ENSG00000130749_ZC3H4_51,9,5,0,0,3
ENSG00000130749_ZC3H4_52,6,14,0,1,4
ENSG00000130749_ZC3H4_53,3,7,3,0,2
ENSG00000130749_ZC3H4_54,1,5,3,0,1
ENSG00000130749_ZC3H4_55,6,12,0,2,3
ENSG00000130749_ZC3H4_56,9,15,3,1,7
ENSG00000130749_ZC3H4_57,10,21,1,0,7
ENSG00000130749_ZC3H4_58,10,32,0,1,6
ENSG00000130749_ZC3H4_59,10,22,3,1,7
ENSG00000130749_ZC3H4_60,14,25,1,0,16
ENSG00000130749_ZC3H4_61,11,34,1,0,11
ENSG00000130749_ZC3H4_62,7,42,2,0,13
ENSG00000130749_ZC3H4_63,9,31,3,1,5
ENSG00000130749_ZC3H4_64,10,35,2,2,9
ENSG00000130749_ZC3H4_65,6,41,1,0,5
ENSG00000130749_ZC3H4_66,8,36,1,3,11
ENSG00000130749_ZC3H4_67,5,49,4,2,9
ENSG00000130749_ZC3H4_68,6,45,4,1,8
ENSG00000130749_ZC3H4_69,5,55,4,0,12
ENSG00000130749_ZC3H4_70,6,58,4,1,13
ENSG00000130749_ZC3H4_71,4,41,4,1,12
ENSG00000130749_ZC3H4_72,2,54,1,0,4
ENSG00000130749_ZC3H4_73,2,51,1,0,4
ENSG00000130749_ZC3H4_74,4,63,0,2,7
ENSG00000130749_ZC3H4_75,4,51,1,0,3
ENSG00000130749_ZC3H4_76,1,48,2,0,1
ENSG00000130749_ZC3H4_77,1,30,3,2,4
ENSG00000130749_ZC3H4_78,5,44,2,1,3
ENSG00000130749_ZC3H4_79,2,46,3,0,0
ENSG00000130749_ZC3H4_80,0,46,3,1,3
ENSG00000130749_ZC3H4_81,3,55,0,1,4
ENSG00000130749_ZC3H4_82,2,46,0,1,2
ENSG00000130749_ZC3H4_83,2,26,0,0,1
ENSG00000130749_ZC3H4_84,1,14,0,0,0
ENSG00000130749_ZC3H4_85,0,16,3,0,0
ENSG00000130749_ZC3H4_86,0,15,2,1,0
ENSG00000130749_ZC3H4_87,1,8,1,0,0
ENSG00000130749_ZC3H4_88,1,7,0,0,1
ENSG00000130749_ZC3H4_89,1,19,0,2,0
ENSG00000130749_ZC3H4_90,4,28,1,0,2
ENSG00000130749_ZC3H4_91,2,21,2,0,2
ENSG00000130749_ZC3H4_92,1,28,1,1,0
ENSG00000130749_ZC3H4_93,2,27,0,1,3
ENSG00000130749_ZC3H4_94,0,20,0,1,1
ENSG00000130749_ZC3H4_95,0,13,0,0,0
ENSG00000130749_ZC3H4_96,1,21,0,0,0
ENSG00000130749_ZC3H4_97,0,41,0,1,1
ENSG00000130749_ZC3H4_98,1,66,3,3,1
ENSG00000130749_ZC3H4_99,3,68,3,3,1
ENSG00000130749_ZC3H4_100,3,55,1,1,3
ENSG00000130749_ZC3H4_101,4,37,1,0,3
ENSG00000130749_ZC3H4_102,6,39,0,0,4
ENSG00000130749_ZC3H4_103,9,45,1,1,1
ENSG00000130749_ZC3H4_104,9,27,5,1,3
ENSG00000130749_ZC3H4_105,15,16,4,1,3
ENSG00000130749_ZC3H4_106,10,16,3,2,1
ENSG00000130749_ZC3H4_107,6,10,2,1,4
ENSG00000130749_ZC3H4_108,7,0,1,0,4
ENSG00000130749_ZC3H4_109,5,0,3,0,2
ENSG00000130749_ZC3H4_110,5,1,1,0,0
ENSG00000130749_ZC3H4_111,6,0,3,1,2
ENSG00000130749_ZC3H4_112,0,0,0,0,0
ENSG00000130749_ZC3H4_113,0,0,0,0,0
ENSG00000130749_ZC3H4_114,1,2,0,0,1
ENSG00000130749_ZC3H4_115,1,2,0,1,1
ENSG00000130749_ZC3H4_116,0,1,0,0,0
ENSG00000130749_ZC3H4_117,1,0,0,0,0
ENSG00000130749_ZC3H4_118,1,0,0,0,0
ENSG00000130749_ZC3H4_119,0,2,1,0,1
ENSG00000130749_ZC3H4_120,1,0,1,0,0
ENSG00000130749_ZC3H4_121,1,0,0,0,2
ENSG00000130749_ZC3H4_122,0,1,0,0,0
ENSG00000130749_ZC3H4_123,1,1,0,0,0
ENSG00000130749_ZC3H4_124,0,0,0,1,0
ENSG00000130749_ZC3H4_125,0,1,0,0,1
ENSG00000130749_ZC3H4_126,0,1,0,0,1
ENSG00000130749_ZC3H4_127,2,0,0,1,0
ENSG00000130749_ZC3H4_128,5,0,2,0,0
ENSG00000130749_ZC3H4_129,4,2,3,3,0
ENSG00000130749_ZC3H4_130,3,1,4,3,1
ENSG00000130749_ZC3H4_131,5,2,4,3,1
ENSG00000130749_ZC3H4_132,4,0,1,2,0
ENSG00000130749_ZC3H4_133,2,0,0,0,0
ENSG00000130749_ZC3H4_134,3,0,0,0,0
ENSG00000130749_ZC3H4_135,3,0,0,1,0
ENSG00000130749_ZC3H4_136,2,0,0,1,0
ENSG00000130749_ZC3H4_137,0,0,0,0,0
ENSG00000130749_ZC3H4_138,2,0,1,0,1
ENSG00000130749_ZC3H4_139,0,0,0,0,0
ENSG00000130749_ZC3H4_140,3,0,1,0,1
ENSG00000130749_ZC3H4_141,1,0,0,0,0
ENSG00000130749_ZC3H4_142,1,1,0,1,0
